,distance
0,0.0
1,9.0
2,9.0
3,9.0
4,9.0
5,9.0
6,9.0
7,9.0
8,9.0
9,9.0
10,9.0
11,9.0
12,9.0
13,9.0
14,9.0
15,9.0
16,9.0
17,9.0
18,9.0
19,9.0
20,9.0
21,9.0
22,9.0
23,9.0
24,9.0
25,9.0
26,9.0
27,9.0
28,9.0
29,9.0
30,9.0
31,9.0
32,9.0
33,9.0
34,9.0
35,9.0
36,9.0
37,9.0
38,9.0
39,9.0
40,9.0
41,9.0
42,9.0
43,10.0
44,10.0
45,10.0
46,11.0
47,12.0
48,16.0
49,17.0
50,23.0
51,23.0
52,23.0
53,33.0
54,35.0
55,35.0
56,29.0
57,29.0
58,30.0
59,28.0
60,29.0
61,29.0
62,34.0
63,24.0
64,22.0
65,21.0
66,21.0
67,16.0
68,14.0
69,12.0
70,10.0
71,9.0
72,8.0
73,9.0
74,13.0
75,16.0
76,18.0
77,18.0
78,17.0
79,15.0
80,13.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,11.0
100,13.0
101,13.0
102,11.0
103,10.0
104,10.0
105,12.0
106,12.0
107,10.0
108,9.0
109,9.0
110,9.0
111,9.0
112,11.0
113,12.0
114,9.0
115,12.0
116,10.0
117,12.0
118,12.0
119,9.0
120,12.0
121,13.0
122,10.0
123,11.0
124,14.0
125,19.0
126,21.0
127,17.0
128,14.0
129,10.0
130,8.0
131,8.0
132,8.0
133,8.0
134,8.0
135,8.0
136,8.0
137,8.0
138,8.0
139,8.0
140,8.0
141,8.0
142,8.0
143,8.0
144,8.0
145,8.0
146,8.0
147,8.0
148,8.0
149,8.0
150,8.0
151,8.0
152,8.0
153,8.0
154,8.0
155,8.0
156,8.0
157,8.0
158,8.0
159,8.0
160,8.0
161,8.0
162,8.0
163,8.0
164,8.0
165,8.0
166,8.0
167,8.0
168,8.0
169,8.0
170,8.0
171,8.0
172,8.0
173,8.0
174,8.0
175,8.0
176,8.0
177,8.0
178,8.0
179,8.0
180,8.0
181,8.0
182,8.0
183,8.0
184,8.0
185,8.0
186,8.0
187,8.0
188,8.0
189,8.0
190,8.0
191,8.0
192,8.0
193,8.0
194,8.0
195,8.0
196,8.0
197,8.0
198,8.0
199,8.0
200,8.0
201,8.0
202,8.0
203,8.0
204,8.0
205,8.0
206,8.0
207,8.0
208,8.0
209,8.0
210,8.0
211,8.0
212,8.0
213,8.0
214,8.0
215,8.0
216,8.0
