,Empuje
0,0.0
1,-0.17658
2,-0.18639
3,-0.18639
4,-0.1962
5,-0.18639
6,-0.18639
7,-0.1962
8,-0.20601000000000003
9,-0.1962
10,-0.18639
11,-0.18639
12,-0.1962
13,-0.1962
14,-0.20601000000000003
15,-0.18639
16,-0.1962
17,-0.20601000000000003
18,-0.20601000000000003
19,-0.1962
20,-0.20601000000000003
21,-0.1962
22,-0.18639
23,-0.18639
24,-0.18639
25,-0.18639
26,-0.1962
27,-0.1962
28,-0.18639
29,-0.18639
30,-0.20601000000000003
31,-0.1962
32,-0.18639
33,-0.17658
34,-0.17658
35,-0.17658
36,-0.17658
37,-0.18639
38,-0.18639
39,-0.17658
40,-0.15696000000000002
41,-0.15696000000000002
42,-0.18639
43,-0.17658
44,-0.17658
45,-0.1962
46,-0.1962
47,-0.1962
48,-0.20601000000000003
49,-0.18639
50,-0.18639
51,-0.18639
52,-0.18639
53,-0.18639
54,-0.17658
55,-0.18639
56,-0.20601000000000003
57,-0.1962
58,-0.17658
59,-0.17658
60,-0.18639
61,-0.17658
62,-0.18639
63,-0.20601000000000003
64,-0.18639
65,-0.17658
66,-0.18639
67,-0.18639
68,-0.17658
69,-0.1962
70,-0.1962
71,-0.1962
72,-0.1962
73,-0.18639
74,-0.18639
75,-0.18639
76,-0.17658
77,-0.15696000000000002
78,-0.1962
79,-0.22563
80,-0.1962
81,-0.18639
82,-0.18639
83,-0.17658
84,-0.1962
85,-0.1962
86,-0.1962
87,-0.1962
88,-0.18639
89,-0.18639
90,-0.17658
91,-0.17658
92,-0.17658
93,-0.18639
94,-0.1962
95,-0.18639
96,-0.17658
97,-0.1962
98,-0.1962
99,-0.18639
100,-0.17658
101,-0.18639
102,-0.1962
103,-0.17658
104,-0.17658
105,-0.16677000000000003
106,-0.16677000000000003
107,-0.18639
108,-0.17658
109,-0.17658
110,-0.17658
111,-0.1962
112,-0.17658
113,-0.16677000000000003
114,-0.18639
115,-0.18639
116,-0.1962
117,-0.17658
118,-0.1962
119,-0.17658
120,-0.1962
121,-0.1962
122,-0.16677000000000003
123,-0.16677000000000003
124,-0.17658
125,-0.18639
126,-0.18639
127,-0.18639
128,-0.1962
129,-0.20601000000000003
130,-0.21582
131,-0.20601000000000003
132,-0.18639
133,-0.18639
134,-0.1962
135,-0.17658
136,-0.1962
137,-0.1962
138,-0.1962
139,-0.1962
140,-0.18639
141,-0.1962
142,-0.20601000000000003
143,-0.1962
144,-0.18639
145,-0.20601000000000003
146,-0.1962
147,-0.17658
148,-0.20601000000000003
149,-0.1962
150,-0.1962
151,-0.1962
152,-0.1962
153,-0.17658
154,-0.17658
155,-0.18639
156,-0.18639
157,-0.17658
158,-0.17658
159,-0.17658
160,-0.17658
161,-0.17658
162,-0.1962
163,-0.1962
164,-0.17658
165,-0.17658
166,-0.18639
167,-0.18639
168,-0.20601000000000003
169,-0.21582
170,-0.1962
171,-0.20601000000000003
172,-0.20601000000000003
173,-0.18639
174,-0.18639
175,-0.1962
176,-0.20601000000000003
177,-0.18639
178,-0.1962
179,-0.20601000000000003
180,-0.18639
181,-0.1962
182,-0.1962
183,-0.1962
184,-0.21582
185,-0.1962
186,-0.1962
187,-0.1962
188,-0.20601000000000003
189,-0.1962
190,-0.1962
191,-0.1962
192,-0.18639
193,-0.17658
194,-0.18639
195,-0.1962
196,-0.18639
197,-0.18639
198,-0.17658
199,-0.18639
200,-0.20601000000000003
201,-0.1962
202,-0.1962
203,-0.18639
204,-0.18639
205,-0.1962
206,-0.18639
207,-0.18639
208,-0.20601000000000003
209,-0.21582
210,-0.20601000000000003
211,-0.1962
212,-0.1962
213,-0.16677000000000003
214,-0.16677000000000003
215,-0.20601000000000003
216,-0.20601000000000003
217,-0.1962
218,-0.17658
219,-0.18639
220,-0.18639
221,-0.16677000000000003
222,-0.18639
223,-0.1962
224,-0.1962
225,-0.20601000000000003
226,-0.1962
227,-0.1962
228,-0.1962
229,-0.1962
230,-0.1962
231,-0.1962
232,-0.1962
233,-0.1962
234,-0.20601000000000003
235,-0.1962
236,-0.1962
237,-0.17658
238,-0.17658
239,-0.18639
240,-0.18639
241,-0.1962
242,-0.18639
243,-0.1962
244,-0.1962
245,-0.1962
246,-0.1962
247,-0.18639
248,-0.17658
249,-0.18639
250,-0.1962
251,-0.17658
252,-0.18639
253,-0.1962
254,-0.1962
255,-0.18639
256,-0.18639
257,-0.1962
258,-0.20601000000000003
259,-0.1962
260,-0.20601000000000003
261,-0.20601000000000003
262,-0.1962
263,-0.17658
264,-0.18639
265,-0.18639
266,-0.17658
267,-0.18639
268,-0.17658
269,-0.1962
270,-0.1962
271,-0.1962
272,-0.18639
273,-0.18639
274,-0.1962
275,-0.20601000000000003
276,-0.21582
277,-0.18639
278,-0.18639
279,-0.17658
280,-0.17658
281,-0.17658
282,-0.1962
283,-0.1962
284,-0.1962
285,-0.18639
286,-0.18639
287,-0.1962
288,-0.18639
289,-0.18639
290,-0.20601000000000003
291,-0.18639
292,-0.18639
293,-0.20601000000000003
294,-0.18639
295,-186.39000000000001
296,-186.39000000000001
297,-0.1962
298,-0.18639
299,-0.18639
300,-0.1962
301,-0.20601000000000003
302,-0.20601000000000003
303,-0.21582
304,-0.20601000000000003
305,-0.1962
306,-0.17658
307,-0.18639
308,-0.18639
309,-0.18639
310,-0.18639
311,-0.18639
312,-0.17658
313,-0.16677000000000003
314,-0.18639
315,-0.17658
316,-0.17658
317,-0.1962
318,-0.1962
319,-0.18639
320,-0.18639
321,-0.1962
322,-0.18639
323,-0.17658
324,-0.15696000000000002
325,-0.04905
326,0.87309
327,6.80814
328,24.466140000000003
329,26.614530000000002
330,18.020970000000002
331,13.341600000000001
332,9.45684
333,6.2685900000000006
334,3.8553300000000004
335,2.5015500000000004
336,1.78542
337,1.29492
338,0.75537
339,0.34335000000000004
340,0.16677000000000003
341,0.04905
342,-0.019620000000000002
343,-0.05886
344,-0.0981
345,-0.11772
346,-0.13734000000000002
347,-0.14715
348,-0.16677000000000003
349,-0.15696000000000002
350,-0.16677000000000003
351,-0.17658
352,-0.17658
353,-0.18639
354,-0.18639
355,-0.18639
356,-0.18639
357,-0.17658
358,-0.18639
359,-0.1962
360,-0.1962
361,-0.18639
362,-0.18639
363,-0.17658
364,-0.18639
365,-0.1962
366,-0.18639
367,-0.21582
368,-0.22563
369,-0.21582
370,-0.20601000000000003
371,-0.22563
372,-0.22563
373,-0.21582
374,-0.20601000000000003
375,-0.22563
376,-0.23544
377,-0.22563
378,-0.21582
379,-0.22563
380,-0.23544
381,-0.23544
382,-0.23544
383,-0.25506
384,-0.24525000000000002
385,-0.25506
386,-0.25506
387,-0.25506
388,-0.22563
389,-0.24525000000000002
390,-0.26487
391,-0.25506
392,-0.25506
393,-0.24525000000000002
394,-0.25506
395,-0.26487
396,-0.25506
397,-0.18639
398,0.10791
399,-0.42183
400,-0.71613
401,-0.69651
402,-0.6867000000000001
403,-0.63765
404,-0.47088
405,-0.63765
406,-0.6867000000000001
407,-0.6670800000000001
408,-0.6670800000000001
409,-0.6867000000000001
410,-0.6670800000000001
411,-0.6670800000000001
412,-0.6670800000000001
413,-0.6670800000000001
414,-0.6670800000000001
415,-0.6768900000000001
416,-0.6768900000000001
417,-0.6768900000000001
418,-0.6768900000000001
419,-0.6768900000000001
420,-0.6768900000000001
421,-0.6670800000000001
422,-0.6670800000000001
423,-0.6768900000000001
424,-0.6670800000000001
425,-0.6670800000000001
426,-0.6768900000000001
427,-0.6670800000000001
428,-0.6867000000000001
429,-0.6768900000000001
430,-0.6670800000000001
431,-0.6670800000000001
432,-0.6768900000000001
433,-0.6670800000000001
434,-0.6768900000000001
435,-0.69651
436,-0.6768900000000001
437,-0.6670800000000001
438,-0.6867000000000001
439,-0.6670800000000001
440,-0.6768900000000001
441,-0.6867000000000001
442,-0.6670800000000001
443,-0.6768900000000001
444,-0.69651
445,-0.6867000000000001
446,-0.6768900000000001
447,-0.6867000000000001
448,-0.6768900000000001
449,-0.6670800000000001
450,-0.6670800000000001
451,-0.6768900000000001
452,-0.6670800000000001
453,-0.70632
454,-0.69651
455,-0.6768900000000001
456,-0.6768900000000001
457,-0.6670800000000001
458,-0.65727
459,-0.63765
460,-0.63765
461,-0.65727
462,-0.64746
463,-0.6670800000000001
464,-0.69651
465,-0.6867000000000001
466,-0.6670800000000001
467,-0.6670800000000001
468,-0.6670800000000001
469,-0.64746
470,-0.6670800000000001
471,-0.6768900000000001
472,-0.6670800000000001
473,-0.6670800000000001
474,-0.6768900000000001
475,-0.6670800000000001
476,-0.65727
477,-0.65727
478,-0.65727
479,-0.65727
480,-0.6670800000000001
481,-0.6768900000000001
482,-0.6867000000000001
483,-0.6768900000000001
484,-0.6768900000000001
485,-0.6768900000000001
486,-0.6867000000000001
487,-0.69651
488,-0.6867000000000001
489,-0.6768900000000001
490,-0.6670800000000001
491,-0.6867000000000001
492,-0.6768900000000001
493,-0.6670800000000001
494,-0.6670800000000001
495,-0.6670800000000001
496,-0.65727
497,-0.6670800000000001
498,-0.6768900000000001
499,-0.6768900000000001
500,-0.6867000000000001
501,-0.6768900000000001
502,-0.6867000000000001
503,-0.6867000000000001
504,-0.6768900000000001
505,-0.6867000000000001
506,-0.6867000000000001
507,-0.69651
508,-0.6768900000000001
509,-0.6670800000000001
510,-0.6670800000000001
511,-0.6670800000000001
512,-0.6768900000000001
513,-0.6768900000000001
514,-0.6867000000000001
515,-0.6867000000000001
516,-0.65727
517,-0.65727
518,-0.6768900000000001
519,-0.6867000000000001
520,-0.6768900000000001
521,-0.6768900000000001
522,-0.6768900000000001
523,-0.6670800000000001
524,-0.6768900000000001
525,-0.6867000000000001
526,-0.69651
527,-0.6867000000000001
528,-0.6867000000000001
529,-0.6867000000000001
530,-0.65727
531,-0.6670800000000001
532,-0.6768900000000001
533,-0.69651
534,-0.69651
535,-0.6867000000000001
536,-0.65727
537,-0.6768900000000001
538,-0.6867000000000001
539,-0.6768900000000001
540,-0.6867000000000001
541,-0.6768900000000001
542,-0.64746
543,-0.65727
544,-0.6768900000000001
545,-0.6768900000000001
546,-0.6768900000000001
547,-0.6867000000000001
548,-0.6768900000000001
549,-0.6768900000000001
550,-0.69651
551,-0.69651
552,-0.6768900000000001
553,-0.69651
554,-0.71613
555,-0.71613
556,-0.70632
557,-0.69651
558,-0.6867000000000001
559,-0.69651
560,-0.70632
561,-0.69651
562,-0.6867000000000001
563,-0.69651
564,-0.70632
565,-0.69651
566,-0.70632
567,-0.71613
568,-0.70632
569,-0.71613
570,-0.71613
571,-0.72594
572,-0.72594
573,-0.72594
574,-0.72594
575,-0.71613
576,-0.69651
577,-0.70632
578,-0.70632
579,-0.70632
580,-0.71613
581,-0.72594
582,-0.73575
583,-0.73575
584,-0.75537
585,-0.7651800000000001
586,-0.74556
587,-0.71613
588,-0.69651
589,-0.69651
590,-0.6768900000000001
591,-0.65727
592,-0.65727
593,-0.6670800000000001
594,-0.6768900000000001
595,-0.6768900000000001
596,-0.6768900000000001
597,-0.6768900000000001
598,-0.69651
599,-0.69651
600,-0.69651
601,-0.6867000000000001
602,-0.71613
603,-0.71613
604,-0.6867000000000001
605,-0.6867000000000001
606,-0.6867000000000001
607,-0.6670800000000001
608,-0.6768900000000001
609,-0.6670800000000001
610,-0.6768900000000001
611,-0.6768900000000001
612,-0.6768900000000001
613,-0.6867000000000001
614,-0.6867000000000001
615,-0.6670800000000001
616,-0.65727
617,-0.6670800000000001
618,-0.65727
619,-0.6867000000000001
620,-0.6768900000000001
621,-0.6768900000000001
622,-0.69651
623,-0.6867000000000001
624,-0.69651
625,-0.6867000000000001
626,-0.6867000000000001
627,-0.69651
628,-0.6867000000000001
629,-0.6867000000000001
630,-0.6768900000000001
631,-0.69651
632,-0.69651
633,-0.6768900000000001
634,-0.6768900000000001
635,-0.6768900000000001
636,-0.6867000000000001
637,-0.6768900000000001
638,-0.6768900000000001
639,-0.6867000000000001
640,-0.69651
641,-0.6867000000000001
642,-0.6768900000000001
643,-0.65727
644,-0.6867000000000001
645,-0.6867000000000001
646,-0.6768900000000001
647,-0.6867000000000001
648,-0.6768900000000001
649,-0.6768900000000001
650,-0.6867000000000001
651,-0.69651
652,-0.69651
653,-0.6867000000000001
654,-0.6670800000000001
655,-0.6670800000000001
656,-0.6768900000000001
657,-0.6867000000000001
658,-0.70632
659,-0.69651
660,-0.6867000000000001
661,-0.6670800000000001
