,Empuje
0,0.0
1,0.009810000000000001
2,0.019620000000000002
3,0.009810000000000001
4,0.009810000000000001
5,0.009810000000000001
6,0.009810000000000001
7,0.0
8,0.009810000000000001
9,0.009810000000000001
10,0.02943
11,0.009810000000000001
12,0.009810000000000001
13,0.0
14,0.0
15,0.019620000000000002
16,0.009810000000000001
17,0.009810000000000001
18,0.019620000000000002
19,0.019620000000000002
20,0.009810000000000001
21,0.009810000000000001
22,0.0
23,0.009810000000000001
24,0.019620000000000002
25,0.0
26,0.0
27,0.0
28,0.009810000000000001
29,0.009810000000000001
30,0.0
31,0.009810000000000001
32,0.0
33,0.0
34,0.0
35,0.009810000000000001
36,0.0
37,0.009810000000000001
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.009810000000000001
44,0.0
45,0.019620000000000002
46,0.009810000000000001
47,0.019620000000000002
48,0.009810000000000001
49,0.0
50,0.019620000000000002
51,0.009810000000000001
52,0.0
53,0.0
54,0.009810000000000001
55,0.0
56,0.009810000000000001
57,0.0
58,0.009810000000000001
59,0.019620000000000002
60,0.009810000000000001
61,0.02943
62,0.019620000000000002
63,0.009810000000000001
64,0.019620000000000002
65,0.019620000000000002
66,0.009810000000000001
67,0.019620000000000002
68,0.019620000000000002
69,0.019620000000000002
70,0.009810000000000001
71,0.009810000000000001
72,0.019620000000000002
73,0.009810000000000001
74,0.019620000000000002
75,0.0
76,0.0
77,0.009810000000000001
78,0.009810000000000001
79,0.019620000000000002
80,0.019620000000000002
81,0.0
82,0.0
83,0.009810000000000001
84,0.02943
85,0.009810000000000001
86,0.0
87,0.009810000000000001
88,0.0
89,0.019620000000000002
90,0.009810000000000001
91,0.009810000000000001
92,0.009810000000000001
93,0.009810000000000001
94,0.0
95,0.0
96,0.009810000000000001
97,0.009810000000000001
98,0.009810000000000001
99,0.009810000000000001
100,0.009810000000000001
101,0.009810000000000001
102,0.02943
103,1.90314
104,6.7688999999999995
105,18.81558
106,35.14923
107,35.2179
108,64.24569000000001
109,98.90442000000002
110,124.54776
111,162.24759000000003
112,162.24759000000003
113,244.05318000000003
114,244.05318000000003
115,345.72402
116,345.72402
117,484.50609000000003
118,484.50609000000003
119,596.59515
120,564.94809
121,539.30475
122,539.30475
123,700.56153
124,700.56153
125,763.0218000000001
126,576.80838
127,511.65036000000003
128,511.65036000000003
129,728.2747800000001
130,728.2747800000001
131,806.80383
132,558.6010200000001
133,438.73263000000003
134,438.73263000000003
135,695.8723500000001
136,695.8723500000001
137,785.2905000000001
138,574.6501800000001
139,538.8534900000001
140,538.8534900000001
141,785.8594800000001
142,750.4944300000001
143,495.67968
144,495.67968
145,581.79186
146,581.79186
147,856.84464
148,705.0643200000001
149,487.72377
150,487.72377
151,626.99634
152,626.99634
153,829.20006
154,635.69781
155,470.88
156,470.88
157,673.41726
158,673.41726
159,861.84774
160,682.7367600000001
161,472.80276
162,472.80276
163,679.46022
164,679.46022
165,836.9205300000001
166,622.29735
167,547.99641
168,547.99641
169,733.69971
170,710.2440000000001
171,547.36857
172,547.36857
173,601.66692
174,601.66692
175,764.5227300000001
176,695.7840600000001
177,480.97449000000006
178,480.97449000000006
179,559.69974
180,559.69974
181,782.53389
182,628.6640400000001
183,519.21387
184,519.21387
185,688.1322600000001
186,719.47521
187,544.00374
188,557.58078
189,557.58078
190,750.1903199999999
191,667.5901200000001
192,557.67888
193,557.67888
194,722.7811800000001
195,736.1129700000001
196,529.8577200000001
197,529.8577200000001
198,598.64544
199,598.64544
200,837.2835
201,721.1036700000001
202,539.02026
203,539.02026
204,671.24925
205,671.24925
206,809.5113900000001
207,596.89926
208,532.39851
209,532.39851
210,762.0898500000001
211,701.22861
212,501.04575000000006
213,501.04575000000006
214,681.73614
215,681.73614
216,845.2492200000002
217,597.59577
218,489.10698
219,489.10698
220,774.0090000000001
221,774.0090000000001
222,828.86652
223,560.5041600000001
224,567.84204
225,567.84204
226,769.0059
227,682.776
228,509.11938000000004
229,509.11938000000004
230,706.13361
231,706.13361
232,872.80551
233,617.70627
234,485.75196
235,485.75196
236,723.94857
237,723.94857
238,833.7420900000001
239,588.24684
240,540.48195
241,540.48195
242,786.51675
243,741.45942
244,498.63249
245,498.63249
246,650.26566
247,650.26566
248,816.34896
249,568.06767
250,478.19826000000006
251,478.19826000000006
252,795.1201200000002
253,795.1201200000002
254,868.61664
255,563.06457
256,528.92577
257,528.92577
258,774.87228
259,771.60555
260,514.55412
261,534.16431
262,534.16431
263,740.44899
264,740.44899
265,792.8343900000001
266,652.57101
267,674.0647200000001
268,682.5798
269,551.72421
270,498.59325000000007
271,450.24957
272,337.28742
273,256.95333000000005
274,175.52052
275,102.55374
276,38.48463
277,5.96448
278,0.14715
279,0.02943
280,0.02943
281,3.65913
282,30.46986
283,79.00974000000001
284,79.00974000000001
285,166.82886000000002
286,166.82886000000002
287,340.65225000000004
288,340.65225000000004
289,475.55937
290,493.12908000000004
291,514.60317
292,514.60317
293,696.5786700000001
294,742.37175
295,575.3466900000001
296,577.47546
297,577.47546
298,702.4941
299,660.6348300000001
300,529.19064
301,565.27182
302,565.27182
303,722.27106
304,663.53859
305,501.31062
306,501.31062
307,646.94988
308,646.94988
309,816.91794
310,568.8819000000001
311,418.38669000000004
312,418.38669000000004
313,704.03427
314,753.5159100000001
315,373.9572
316,228.01382999999998
317,121.87944
318,35.95365
319,13.920390000000001
320,1.8246600000000002
321,0.019620000000000002
322,0.08829
323,0.039240000000000004
324,0.02943
325,0.039240000000000004
326,0.04905
327,0.02943
328,0.039240000000000004
329,0.04905
330,0.04905
331,0.04905
332,0.04905
333,0.05886
334,0.05886
335,0.06867000000000001
336,0.06867000000000001
337,0.05886
338,0.06867000000000001
339,0.34335000000000004
340,10.35936
341,45.56745
342,45.56745
343,111.00996
344,111.00996
345,285.28461
346,285.28461
347,521.2053000000001
348,521.2053000000001
349,584.6171400000001
350,528.6609000000001
351,463.82661
352,325.58409
353,146.11014
354,34.276140000000005
355,2.6388900000000004
356,0.17658
357,6.729660000000001
358,34.6293
359,34.6293
360,89.32986
361,89.32986
362,241.08075
363,241.08075
364,529.89696
365,529.89696
366,625.4954100000001
367,514.19115
368,518.89014
369,518.89014
370,666.14805
371,666.9819
372,634.29498
373,634.29498
374,692.60562
375,692.60562
376,760.7556900000001
377,690.26103
378,567.8028
379,597.09546
380,597.09546
381,774.48969
382,685.8661500000001
383,515.26044
384,515.26044
385,684.7281900000002
386,684.7281900000002
387,849.28113
388,599.96979
389,568.1952
390,568.1952
391,765.87651
392,644.87016
393,518.89014
394,518.89014
395,668.2866300000001
396,673.62327
397,546.19137
398,546.19137
399,612.8307
400,612.8307
401,842.6201400000001
402,874.63998
403,619.75656
404,608.19057
405,608.19057
406,758.1266100000001
407,699.08022
408,528.62166
409,475.87329000000005
410,506.95137
411,460.35387000000003
412,295.41834
413,88.18209000000002
414,5.1600600000000005
415,0.02943
416,0.039240000000000004
417,0.02943
418,0.02943
419,0.02943
420,0.019620000000000002
421,0.04905
422,0.039240000000000004
423,0.02943
424,0.019620000000000002
425,0.019620000000000002
